Date,Open,High,Low,Close,Volume,Change
2020-12-10,46300,46800,45700,46400,2571662,0.005417118093174356
2020-12-11,47250,47450,46850,47100,1855955,0.015086206896551824
2020-12-14,47300,47300,46600,47000,1521534,-0.002123142250530785
2020-12-15,46850,46900,46000,46300,1469530,-0.014893617021276562
2020-12-16,46500,46600,45800,46050,1440874,-0.005399568034557212
2020-12-17,46000,46000,45050,45250,1956749,-0.017372421281216077
2020-12-18,45600,45650,44900,44950,2031472,-0.006629834254143652
2020-12-21,45200,45250,44650,45150,1354602,0.004449388209121219
2020-12-22,45150,45250,44450,44550,1261666,-0.013289036544850474
2020-12-23,44350,44500,43600,44000,1725673,-0.012345679012345734
2020-12-24,44650,45450,44500,45450,1322132,0.03295454545454546
2020-12-28,45650,45750,45200,45600,1819112,0.0033003300330032292
2020-12-29,44500,44500,43250,43400,2666286,-0.04824561403508776
2020-12-30,43550,43600,42750,43400,2027550,0.0
2021-01-04,43150,43150,42150,42450,2825436,-0.02188940092165903
2021-01-05,42600,43750,41900,43550,3108053,0.025912838633686652
2021-01-06,43850,44700,43350,44000,3637798,0.010332950631458004
2021-01-07,45550,46300,45300,46000,4683821,0.045454545454545414
2021-01-08,46800,46800,45550,46500,3696066,0.010869565217391353
2021-01-11,46550,46800,44900,45900,4976748,-0.012903225806451646
2021-01-12,46100,46800,45250,46200,4151212,0.006535947712418277
2021-01-13,46800,47900,46600,47300,3626944,0.023809523809523725
2021-01-14,47500,47550,46550,46550,2836491,-0.015856236786469302
2021-01-15,46950,47100,45100,45200,2547930,-0.029001074113856107
2021-01-18,45200,45400,44500,45250,2022240,0.0011061946902655162
2021-01-19,45550,45650,44800,45200,1603061,-0.0011049723756906271
2021-01-20,45200,45250,44550,45150,1974230,-0.0011061946902655162
2021-01-21,44800,45100,44300,44750,2039223,-0.008859357696566983
2021-01-22,44450,44800,44050,44050,2220313,-0.015642458100558643
2021-01-25,43850,44650,43700,44100,1827167,0.0011350737797957144
2021-01-26,43850,43850,43000,43000,2304802,-0.024943310657596363
2021-01-27,43200,43500,42400,42400,2275198,-0.013953488372092981
2021-01-28,41700,41750,40750,41100,2577844,-0.030660377358490587
2021-01-29,42450,42450,40250,40300,3082889,-0.019464720194647178
2021-02-01,40550,42600,40450,42100,1995656,0.04466501240694787
2021-02-02,42150,42450,41500,41850,1952910,-0.005938242280285055
2021-02-03,42400,42950,41650,41950,2303225,0.002389486260454099
2021-02-04,42450,42650,41500,42050,2028150,0.0023837902264600697
2021-02-05,42700,44350,42250,44350,3557203,0.054696789536266444
2021-02-08,44500,45450,43900,45050,3190576,0.015783540022547893
2021-02-09,45600,45900,44500,44750,2329095,-0.006659267480577102
2021-02-10,45250,45750,44750,45500,1731667,0.016759776536312776
2021-02-15,46150,46300,45200,45300,1617481,-0.00439560439560438
2021-02-16,45250,45450,44300,45050,1401397,-0.0055187637969095205
2021-02-17,45400,45850,44700,44800,2709180,-0.005549389567147567
2021-02-18,44500,44900,43700,43700,2585194,-0.024553571428571397
2021-02-19,43650,43950,42750,43550,2280949,-0.003432494279176246
2021-02-22,43800,44000,43100,43100,2207281,-0.010332950631458115
2021-02-23,43750,44000,43200,43700,2131305,0.0139211136890951
2021-02-24,44200,44600,43150,43150,2151962,-0.01258581235697942
2021-02-25,43350,45000,43250,44750,2312456,0.037079953650057895
2021-02-26,44650,44650,43500,43800,2596968,-0.021229050279329642
2021-03-02,44250,45250,44100,44500,2682710,0.015981735159817267
